,Name,Taste,Type,Function,Effect
370,钩藤,甘、微寒,肝、心包,清热、平肝、定惊,清热、平肝、定惊
371,天麻,甘、平,肝,息风、止痉、平肝、潜阳,息风、止痉、平肝、潜阳
372,地龙,咸、寒,肝、脾、膀胱,清热、息风、通络、利尿,清热、息风、通络、利尿
373,全蝎,辛、平,有毒,、止痉、攻毒、散结、通络、止痛,、止痉、攻毒、散结、通络、止痛
374,蜈蚣,辛、平；有毒,肝,息风、止痉、解毒、散结、通络、止痛,息风、止痉、解毒、散结、通络、止痛
375,白僵蚕,咸、辛、平,肝、肺,、止痉、祛风、止痛、化痰、散结,、止痉、祛风、止痛、化痰、散结
376,玳瑁,甘、咸、寒,心、肝,平肝、定惊、清热、解毒,平肝、定惊、清热、解毒
377,马宝,甘、咸、微苦、凉,心、肝,镇惊、化痰、清热、解毒,镇惊、化痰、清热、解毒
378,壁虎,咸、寒,有小毒,祛风、定惊、散结、解毒,祛风、定惊、散结、解毒
379,蛇蜕,甘、咸、平,肝,祛风、止痉、明目、杀虫、解毒,祛风、止痉、明目、杀虫、解毒
380,麻黄根,甘、平,心、肺,、,、
381,浮小麦,甘、凉,心,、益气、,、益气、
382,糯稻根,甘、平,肺、胃,敛汗、退、益胃、生津,敛汗、退、益胃、生津
383,五味子,酸、温,肺、肾、心,敛肺、生津、敛汗、涩精、止泻、安神,敛肺、生津、敛汗、涩精、止泻、安神
384,五倍子,酸、涩、寒,肺、大肠、肾,敛肺、涩肠、固精、敛汗、生津、止血、敛疮,敛肺、涩肠、固精、敛汗、生津、止血、敛疮
385,罂粟壳,酸、涩、平,有小毒,敛肺、涩肠、固精、止痛,敛肺、涩肠、固精、止痛
386,诃子,苦、酸、涩、平,肺、大肠,涩肠、敛肺、利咽,涩肠、敛肺、利咽
387,石榴皮,酸、涩、温,大肠、胃,涩肠、止泻、杀虫、收敛、止血,涩肠、止泻、杀虫、收敛、止血
388,肉豆蔻,辛、温,脾、胃、大肠,温中、行气、涩肠、止泻,温中、行气、涩肠、止泻
389,赤石脂,甘、酸、涩、温,胃、大肠,涩肠、止血、生肌、敛疮,涩肠、止血、生肌、敛疮
390,禹余粮,甘、涩、平,脾、胃、大肠,涩肠、止泻、收敛、止血、止带,涩肠、止泻、收敛、止血、止带
391,山茱萸,酸、涩、微温,肝、肾,补益肝肾、收敛、,补益肝肾、收敛、
392,覆盆子,酸、涩、平,肾、膀胱,补肾、固精、缩尿、明目,补肾、固精、缩尿、明目
393,金樱子,酸、涩、平,肾、膀胱、大肠,固精、缩尿、涩肠、止泻,固精、缩尿、涩肠、止泻
394,芡实,甘、涩、平,脾、肾,、固精、止泻、止带,、固精、止泻、止带
395,莲须,甘、涩、平,心、肾,、涩精,、涩精
396,益智仁,辛、温,脾、肾,温脾止泻摄唾、固精缩尿,温脾止泻摄唾、固精缩尿
397,桑螵蛸,甘、咸、平,肝、肾,补肾、助阳、固精、缩尿,补肾、助阳、固精、缩尿
398,海螵蛸,咸、涩、微温,胃、肝、肾,收敛、止血、固精、止带、敛疮,收敛、止血、固精、止带、敛疮
399,莲子,甘、涩、平,脾、肾、心,、止泻、止带、涩精、安神,、止泻、止带、涩精、安神
400,碧桃干,苦、酸、平,心、肾,敛汗、涩精、止血,敛汗、涩精、止血
